"","stationcode","objectid","iaas_rowid","aarowid","cramversion","projectname","indexscore","bioticstructure","bufferandlandscapecontext","hydrology","physicalstructure","visitdate","aaname","projectsiteid","wetlandclass","wetlandsubclass","lastupdatedate","record_publish","sampledate","masterid","latitude","longitude","huc","county","smcshed"
"109","403WE0682",1714,1714,6866,"6.1","SMC_SWAMP_2018",62,66.67,73.25,58.33,50,2018-05-06,"Bouquet Canyon Creek ~0.5mi Below Bouquet Reservoir","SMC_SWAMP_2018","riverine","confined",1900-01-18,"true",2018-05-06,"403WE0682",34.57066,-118.38974,403,"Los Angeles","Santa Clara"
"110","403WE0683",1717,1717,6871,"6.1","SMC_SWAMP_2018",75,33.33,96.54,83.33,87.5,2018-05-06,"Santa Paula Creek ~1.5mi N Hwy 150","SMC_SWAMP_2018","riverine","confined",1900-01-18,"true",2018-05-06,"403WE0683",34.43952,-119.07616,403,"Ventura","Santa Clara"
"111","403WE0746",1833,1833,7199,"6.1","RWB4_SMC_2019",73,72.22,80.63,75,62.5,2019-07-05,"Santa Paula Creek ~2mi above Santa Paula",NA,"riverine","non-confined",1900-01-18,"true",2019-07-05,"403WE0746",34.39548,-119.07511,403,"Ventura","Santa Clara"
"112","403WE0905",1718,1718,6872,"6.1","SMC_SWAMP_2018",82,80.56,87.5,58.33,100,2018-07-06,"Sespe Creek Jacinto Reyes Scenic Byway~0.4mi W Beaver Cmp.","SMC_SWAMP_2018","riverine","non-confined",1900-01-18,"true",2018-07-06,"403WE0905",34.55734,-119.24876,403,"Ventura","Santa Clara"
"113","403WE1021",705,1221,5303,"6.1","SMC_SWAMP_2016",74,61.11,85.38,75,75,2016-05-23,"Elizabeth Lake Cyn","RWB4_SMC_2016","riverine","confined",NA,"true",2016-05-23,"403WE1021",34.63193,-118.52977,403,"Los Angeles","Santa Clara"
"114","403WE1021",26,26,4690,"6.1","SMC_SWAMP_2015",79,61.11,93.29,75,87.5,2015-06-09,"403WE1021 Hughes Canyon","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-06-09,"403WE1021",34.63193,-118.52977,403,"Los Angeles","Santa Clara"
"115","403WE1027",202,202,3894,"6.1","RCMP_SWAMP_2014 ",89,72.22,100,83.33,100,2014-06-18,"Lockwood Creek","RCMP 2014","riverine","non-confined",NA,"true",2014-06-18,"403WE1027",34.72654,-119.02842,403,"Ventura","Santa Clara"
"116","403WE1027",87,87,4505,"6.1","RCMP_ABL_2015",85,63.89,100,100,75,2015-05-07,"Lockwood Creek","RCMP","riverine","non-confined",NA,"true",2015-05-07,"403WE1027",34.72654,-119.02842,403,"Ventura","Santa Clara"
"117","403WE1027",1745,1745,6929,"6.1","SWB_RCMP_2019",83,63.89,100,91.67,75,2019-01-05,"Lockwood Creek","RCMP","riverine","non-confined",1900-01-18,"true",2019-01-05,"403WE1027",34.72654,-119.02842,403,"Ventura","Santa Clara"
"118","403WE1027",611,1338,5509,"6.1","RCMP_ABL_2016",82,55.56,100,83.33,87.5,2016-06-09,"Lockwood Creek 1027","403WE1027","riverine","non-confined",NA,"true",2016-06-09,"403WE1027",34.72654,-119.02842,403,"Ventura","Santa Clara"
"119","403WE1027",1552,1552,6349,"6.1","SWB_RCMP_2018",68,52.78,100,83.33,37.5,2018-09-05,"Lockwood Creek","RCMP","riverine","non-confined",1900-01-18,"true",2018-09-05,"403WE1027",34.72654,-119.02842,403,"Ventura","Santa Clara"
"120","404ARRSEQ",1199,641,2143,"6","PSA_2012",88,86,96,83,88,2012-06-27,"Arroyo Sequit",NA,"riverine","non-confined",NA,"true",2012-06-27,"404ARRSEQ",34.08506,-118.91206,404,"Los Angeles","Santa Monica Bay"
"121","404BA0852",1836,1836,7231,"6.1","RWB4_SMC_2019",86,75,93.29,75,100,2019-08-05,"Zuma Canyon Random Site 852",NA,"riverine","confined",1900-01-18,"true",2019-08-05,"404BA0852",34.07877,-118.82037,404,"Los Angeles","Santa Monica Bay"
"122","404BA1128",1837,1837,7232,"6.1","RWB4_SMC_2019",68,66.67,86.42,58.33,62.5,2019-05-06,"Las Vigenes Creek Random Site 1128",NA,"riverine","non-confined",1900-01-18,"true",2019-05-06,"404S01128",34.10389,-118.71271,404,"Los Angeles","Santa Monica Bay"
"123","404BA1166",883,957,1149,"5.0.2","SMC_RCMP_SWAMP_2009",79,67,92,83,75,2009-08-20,"Soltice Canyon Creek",NA,"riverine","non-confined",NA,"true",2009-08-20,"404BA1166",34.03761,-118.75038,404,"Los Angeles","Santa Monica Bay"
"124","404M04517",406,1538,6126,"6.1","SMC/VCWPD",74,77.78,93.29,75,50,2017-04-26,"404M04517","404M04517","riverine","non-confined",NA,"true",2017-04-26,"404M04517",34.17649,-118.70612,404,"Ventura","Santa Monica Bay"
"125","404M04532",128,128,4391,"6.1","SMC/VCWPD",56,58.33,35.75,66.67,62.5,2015-07-14,"SMC2_04532","404M04532","riverine","confined",NA,"true",2015-07-14,"404M04532",34.1744,-118.78748,404,"Ventura","Santa Monica Bay"
"126","404M04599",564,1273,5391,"6.1","SMC/VCWPD",88,80.56,100,83.33,87.5,2016-08-03,"404M04599","404M04599","riverine","confined",NA,"true",2016-08-03,"404M04599",34.09458,-118.92442,404,"Ventura","Santa Monica Bay"
"127","404M04624",1656,1656,6679,"6.1","SMC/VCWPD",69,61.11,80.63,83.33,50,2018-01-06,"404M04624","SMC","riverine","confined",1900-01-18,"true",2018-01-06,"404M04624",34.18241,-118.78924,404,"Ventura","Santa Monica Bay"
"128","404M04674",1848,1848,7247,"6.1","SMC/VCWPD",48,38.89,73.25,41.67,37.5,2019-09-05,"404M04674",NA,"riverine","confined",1900-01-18,"true",2019-09-05,"404M04674",34.1462,-118.85088,404,"Ventura","Santa Monica Bay"
"129","404M07346",181,181,4257,"6.1","SMC",61,55.56,90.29,50,50,2015-07-01,"404M07346","404M07346","riverine","confined",NA,"true",2015-07-01,"404M07346",33.8024,-118.39639,404,"Los Angeles","Santa Monica Bay"
"130","404M07349",180,180,4258,"6.1","SMC",84,88.89,96.54,75,75,2015-07-15,"404M07349","404M07349","riverine","confined",NA,"true",2015-07-15,"404M07349",34.07803,-118.70166,404,"Los Angeles","Santa Monica Bay"
"131","404M07354",557,1266,5365,"6.1","SMC_LA",27,25,25,33.33,25,2016-06-16,"404M07354",NA,"riverine","confined",NA,"true",2016-06-16,"404M07354",34.02025,-118.38647,404,"Los Angeles","Santa Monica Bay"
"132","404M07357",556,1265,5364,"6.1","SMC_LA",81,86.11,96.54,66.67,75,2016-06-13,"404M07357",NA,"riverine","confined",NA,"true",2016-06-13,"404M07357",34.07936,-118.59437,404,"Los Angeles","Santa Monica Bay"
"133","404M07358",416,1424,5366,"6.1","SMC_LA",27,25,25,33.33,25,2016-06-16,"404M07358",NA,"riverine","confined",NA,"true",2016-06-16,"404M07358",33.98675,-118.41043,404,"Los Angeles","Santa Monica Bay"
"134","404R4S001",703,1219,5301,"6.1","SMC_SWAMP_2016",80,58.33,90.29,83.33,87.5,2016-05-05,"404R4S001 Via Merida stream","RWB4_SMC_2016","riverine","confined",NA,"true",2016-05-05,"404R4S001",34.16329,-118.81069,404,"Ventura","Santa Monica Bay"
"135","404R4S009",31,31,4681,"6.1","SMC_SWAMP_2015",65,52.78,75,58.33,75,2015-04-30,"404R4S009 Medea Creek u/s of Thousand Oaks","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-04-30,"404R4S009",34.17601,-118.76169,404,"Ventura","Santa Monica Bay"
"136","404R4S015",701,1217,5290,"6.1","SMC_SWAMP_2016",27,25,25,33.33,25,2016-05-04,"404R4S015 Chesboro Channel","RWB4_SMC_2016","riverine","non-confined",NA,"true",2016-05-04,"SMC03944",34.14255,-118.75224,404,"Ventura","Santa Monica Bay"
"137","404R4S015",32,32,4680,"6.1","SMC_SWAMP_2015",30,33.33,30.17,33.33,25,2015-04-29,"404R4S015 Concrete Channel next to Agoura Rd","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-04-29,"SMC03944",34.14255,-118.75224,404,"Ventura","Santa Monica Bay"
"138","404R4S056",702,1218,5291,"6.1","SMC_SWAMP_2016",75,75,71.38,66.67,87.5,2016-05-04,"404R4S056 stream near school","RWB4_SMC_2016","riverine","confined",NA,"true",2016-05-04,"404R4S056",34.04587,-118.63873,404,"Los Angeles","Santa Monica Bay"
"139","404R4S070",700,1216,5289,"6.1","SMC_SWAMP_2016",85,77.78,90.29,83.33,87.5,2016-05-04,"404R4S070 upstream of PCH","RWB4_SMC_2016","riverine","confined",NA,"true",2016-05-04,"404R4S070",34.042,-118.89747,404,"Los Angeles","Santa Monica Bay"
"140","404R4S070",30,30,4685,"6.1","SMC_SWAMP_2015",78,66.67,86.42,83.33,75,2015-05-27,"404R4S070 creek upstream of Hwy1","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-05-27,"404R4S070",34.042,-118.89747,404,"Los Angeles","Santa Monica Bay"
"141","404S00808",972,868,1614,"5.0.2","SMC_SWAMP_2010",56,44,79,50,50,2010-06-22,"Triunfo Canyon Creek 808",NA,"riverine","non-confined",NA,"true",2010-06-22,"404BA0808",34.11411,-118.77907,404,"Los Angeles","Santa Monica Bay"
"142","404S01128",970,870,1612,"5.0.2","SMC_SWAMP_2010",65,64,79,67,50,2010-06-23,"Las Virgenes Creek 1128",NA,"riverine","non-confined",NA,"true",2010-06-23,"404S01128",34.1039,-118.71271,404,"Los Angeles","Santa Monica Bay"
"143","404S02920",858,982,1124,"5.0.2","SMC_SWAMP_2009",62,67,63,67,50,2009-05-12,"Unknown 404S02920",NA,"riverine","non-confined",NA,"true",2009-05-12,"404S02920",34.17748,-118.767,404,"Ventura","Santa Monica Bay"
"144","404S03048",1713,1713,6865,"6.1","SMC_SWAMP_2018",57,52.78,62.5,50,62.5,2018-12-06,"Lindero Canyon Site 3048","SMC_SWAMP_2018","riverine","non-confined",1900-01-18,"true",2018-12-06,"404S03048",34.18426,-118.79089,404,"Ventura","Santa Monica Bay"
"145","404S03048",859,981,1125,"5.0.1","SMC_SWAMP_2009",66,56,75,58,75,2008-05-13,"Lindero Canyon",NA,"riverine","non-confined",NA,"true",2008-05-13,"404S03048",34.18426,-118.79089,404,"Ventura","Santa Monica Bay"
"146","404S05992",849,991,1115,"5.0.2","SMC_SWAMP_2009",68,67,79,50,75,2009-05-12,"Medea Creek",NA,"riverine","non-confined",NA,"true",2009-05-12,"404S05992",34.15698,-118.7588,404,"Los Angeles","Santa Monica Bay"
"147","404S06456",890,950,1157,"5.0.2","SMC_SWAMP_2009",72,67,79,67,75,2009-05-14,"Topanga Creek",NA,"riverine","non-confined",NA,"true",2009-05-14,"404S06456",34.06463,-118.58685,404,"Los Angeles","Santa Monica Bay"
"148","404S08040",891,949,1158,"5.0.2","SMC_SWAMP_2009",33,25,50,33,25,2010-01-14,"Medea Creek",NA,"riverine","non-confined",NA,"true",2010-01-14,"404S08040",34.14358,-118.75527,404,"Los Angeles","Santa Monica Bay"
"149","404S08616",860,980,1126,"5.0.2","SMC_SWAMP_2009",62,58,75,50,63,2009-05-13,"Unknown 404S08616",NA,"riverine","non-confined",NA,"true",2009-05-13,"404S08616",34.12188,-118.7924,404,"Los Angeles","Santa Monica Bay"
"150","404S08846",975,865,1617,"5.0.2","SMC_SWAMP_2010",84,64,88,83,100,2010-06-22,"Topanga Canyon Creek 8846",NA,"riverine","confined",NA,"true",2010-06-22,"404S08846",34.05442,-118.58176,404,"Los Angeles","Santa Monica Bay"
"151","404S11406",848,992,1114,"5.0.2","SMC_SWAMP_2009",74,69,92,58,75,2009-05-11,"Malibu Creek",NA,"riverine","non-confined",NA,"true",2009-05-11,"404S11406",34.04939,-118.69,404,"Los Angeles","Santa Monica Bay"
"152","404S11880",1088,752,1868,"5.0.2","SMC_SWAMP_2011",62,58,88,50,50,2011-06-07,"Las Virgenes Creek",NA,"riverine","non-confined",NA,"true",2011-06-07,"404S11880",34.12529,-118.70827,404,"Los Angeles","Santa Monica Bay"
"153","404S13160",974,866,1616,"5.0.2","SMC_SWAMP_2010",60,67,50,58,63,2010-06-21,"Medea Creek 13160",NA,"riverine","non-confined",NA,"true",2010-06-21,"404S13160",34.1578,-118.75973,404,"Los Angeles","Santa Monica Bay"
"154","404S13416",1052,788,1777,"5.0.2","SMC_SWAMP_2011",80,64,96,83,75,2011-06-08,"Las Virgenes Creek",NA,"riverine","non-confined",NA,"true",2011-06-08,"404S13416",34.09875,-118.71594,404,"Los Angeles","Santa Monica Bay"
"155","404S13672",1053,787,1778,"5.0.2","SMC_SWAMP_2011",75,56,92,75,75,2011-06-08,"Malibu Creek",NA,"riverine","non-confined",NA,"true",2011-06-08,"404S13672",34.0754,-118.70292,404,"Los Angeles","Santa Monica Bay"
"156","404S14952",1123,743,1912,"5.0.2","SMC_SWAMP_2011",54,58,38,58,63,2011-06-15,"Las Virgenes Creek",NA,"riverine","non-confined",NA,"true",2011-06-15,"404S14952",34.14268,-118.70089,404,"Los Angeles","Santa Monica Bay"
"157","404S16168",971,869,1613,"5.0.2","SMC_SWAMP_2010",75,53,96,75,75,2010-06-23,"Las Virgenes Creek 16168",NA,"riverine","non-confined",NA,"true",2010-06-23,"404S16168",34.06765,-118.70704,404,"Los Angeles","Santa Monica Bay"
"158","404S16232",1087,753,1867,"5.0.2","SMC_SWAMP_2011",68,61,79,67,63,2011-06-09,"Medea Creek",NA,"riverine","non-confined",NA,"true",2011-06-09,"404S16232",34.12549,-118.75317,404,"Los Angeles","Santa Monica Bay"
"159","404S16516",863,977,1129,"5.0.2","SMC_SWAMP_2009",60,44,63,58,75,2009-05-18,"Medea Creek",NA,"riverine","non-confined",NA,"true",2009-05-18,"404S16516",34.12998,-118.75648,404,"Los Angeles","Santa Monica Bay"
"160","404S16516",1715,1715,6867,"6.1","SMC_SWAMP_2018",64,75,43.13,50,87.5,2019-01-06,"Medea Creek Site 16516","SMC_SWAMP_2018","riverine","non-confined",1900-01-18,"true",2019-01-06,"404S16516",34.12998,-118.75648,404,"Los Angeles","Santa Monica Bay"
"161","404S17016",1466,374,3182,"6.1","SMC_SWAMP_2013",82,77.78,80.63,83.33,87.5,2013-06-05,"Malibu Creek 17016","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-06-05,"404S17016",34.1183,-118.78057,404,"Los Angeles","Santa Monica Bay"
"162","404S17266",864,976,1130,"5.0.2","SMC_SWAMP_2009",80,75,88,83,75,2009-05-19,"Las Virgenes, Malibu Creek State Park",NA,"riverine","non-confined",NA,"true",2009-05-19,"404S17266",34.10741,-118.7118,404,"Los Angeles","Santa Monica Bay"
"163","404S17664",861,979,1127,"5.0.2","SMC_SWAMP_2009",32,44,25,33,25,2009-05-20,"Unknown Creek, 404S17664",NA,"riverine","non-confined",NA,"true",2009-05-20,"404S17664",34.14994,-118.6976,404,"Los Angeles","Santa Monica Bay"
"164","404S18250",1467,373,3184,"6.1","SMC_SWAMP_2013",65,75,35.75,50,100,2013-12-11,"Potero Valley Creek 18250","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-12-11,"404S18250",34.13222,-118.82051,404,"Los Angeles","Santa Monica Bay"
"165","404S18666",1124,742,1913,"5.0.2","SMC_SWAMP_2011",54,56,38,58,63,2011-06-15,"Medea Creek",NA,"riverine","non-confined",NA,"true",2011-06-15,"404S18666",34.17206,-118.76375,404,"Ventura","Santa Monica Bay"
"166","404S22464",862,978,1128,"5.0.2","SMC_SWAMP_2009",56,69,54,50,50,2009-05-19,"Las Virgenes Creek",NA,"riverine","non-confined",NA,"true",2009-05-19,"404S22464",34.12676,-118.70685,404,"Los Angeles","Santa Monica Bay"
"167","404S23297",1475,365,3213,"6.1","SMC_SWAMP_2013",84,75,90.29,83.33,87.5,2013-12-16,"Topanga Canyon 23297","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-12-16,"404S23297",34.05006,-118.58103,404,"Los Angeles","Santa Monica Bay"
"168","404S24066",1457,383,3165,"6.1","SMC_SWAMP_2013",27,25,25,33.33,25,2013-12-09,"Las Virgenes 24066","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-12-09,"404S24066",34.16321,-118.70077,404,"Los Angeles","Santa Monica Bay"
"169","404S25298",1313,517,2474,"6","SMC_SWAMP_2012",84,61,92,83,100,2012-06-20,"Malibu Creek",NA,"riverine","non-confined",NA,"true",2012-06-20,"404S25298",34.04553,-118.68732,404,"Los Angeles","Santa Monica Bay"
"170","404S25668",969,871,1611,"5.0.2","SMC_SWAMP_2010",74,67,92,75,63,2010-06-23,"Las Virgenes Creek 25668",NA,"riverine","non-confined",NA,"true",2010-06-23,"404S25668",34.12139,-118.70914,404,"Los Angeles","Santa Monica Bay"
"171","404S26670",1296,534,2436,"6","SMC_SWAMP_2012",65,61,79,58,63,2012-06-18,"Medea Creek",NA,"riverine","non-confined",NA,"true",2012-06-18,"404S26670",34.16385,-118.76205,404,"Los Angeles","Santa Monica Bay"
"172","404S26868",1307,523,2462,"6","SMC_SWAMP_2012",69,75,92,58,50,2012-06-26,"Las Virgenes Creek",NA,"riverine","non-confined",NA,"true",2012-06-26,"404S26868",34.09675,-118.71737,404,"Los Angeles","Santa Monica Bay"
"173","404S27470",1298,532,2439,"6","SMC_SWAMP_2012",62,56,67,50,75,2012-06-19,"Medea Creek",NA,"riverine","non-confined",NA,"true",2012-06-19,"404S27470",34.17445,-118.76389,404,"Ventura","Santa Monica Bay"
"174","404S28068",1302,528,2455,"6","SMC_SWAMP_2012",72,58,79,75,75,2012-06-20,"Las Virgenes Creek",NA,"riverine","non-confined",NA,"true",2012-06-20,"404S28068",34.13936,-118.70366,404,"Los Angeles","Santa Monica Bay"
"175","404S28270",1297,533,2437,"6","SMC_SWAMP_2012",69,58,88,67,63,2012-06-18,"Medea Creek",NA,"riverine","non-confined",NA,"true",2012-06-18,"404S28270",34.13663,-118.75725,404,"Los Angeles","Santa Monica Bay"
"176","404S31468",1299,531,2442,"6","SMC_SWAMP_2012",50,25,50,75,50,2012-06-19,"Medea Creek",NA,"riverine","non-confined",NA,"true",2012-06-19,"404S31468",34.16874,-118.76171,404,"Ventura","Santa Monica Bay"
"177","404S32468",1309,521,2468,"6","SMC_SWAMP_2012",70,39,92,75,75,2012-06-26,"Malibu Creek",NA,"riverine","non-confined",NA,"true",2012-06-26,"404S32468",34.0999,-118.72304,404,"Los Angeles","Santa Monica Bay"
"178","404S33670",1300,530,2443,"6","SMC_SWAMP_2012",29,25,25,42,25,2012-06-19,"Las Virgenes Creek",NA,"riverine","non-confined",NA,"true",2012-06-19,"404S33670",34.15824,-118.70012,404,"Los Angeles","Santa Monica Bay"
"179","404S34120",1306,524,2461,"6","SMC_SWAMP_2012",61,56,79,58,50,2012-06-21,"Lindero Canyon",NA,"riverine","non-confined",NA,"true",2012-06-21,"404S34120",34.16558,-118.78918,404,"Los Angeles","Santa Monica Bay"
"180","404S34230",1476,364,3214,"6.1","SMC_SWAMP_2013",77,75,90.29,66.67,75,2013-06-19,"Topanga Canyon 34230","RWB4_SMC_2013","riverine","confined",NA,"true",2013-06-19,"404S34230",34.06909,-118.58678,404,"Los Angeles","Santa Monica Bay"
"181","404S35270",1301,529,2452,"6","SMC_SWAMP_2012",59,56,79,50,50,2012-06-20,"Las Virgenes Creek",NA,"riverine","non-confined",NA,"true",2012-06-20,"404S35270",34.13325,-118.70656,404,"Los Angeles","Santa Monica Bay"
"182","404S35418",1308,522,2464,"6","SMC_SWAMP_2012",67,58,88,58,63,2012-06-25,"Malibu Creek",NA,"riverine","non-confined",NA,"true",2012-06-25,"404S35418",34.08262,-118.70857,404,"Los Angeles","Santa Monica Bay"
"183","404S37670",1472,368,3204,"6.1","SMC_SWAMP_2013",72,80.56,68.13,75,62.5,2013-06-06,"Las Virgenes 37670","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-06-06,"404S37670",34.14074,-118.70117,404,"Los Angeles","Santa Monica Bay"
"184","404S44210",1478,362,3217,"6.1","SMC_SWAMP_2013",27,25,25,33.33,25,2013-12-16,"Medea Creek 44210","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-12-16,"404S44210",34.14301,-118.75779,404,"Los Angeles","Santa Monica Bay"
"185","404S44532",1461,379,3171,"6.1","SMC_SWAMP_2013",81,72.22,80.63,83.33,87.5,2013-12-10,"Potero Valley Creek","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-12-10,"404S44532",34.12682,-118.79617,404,"Los Angeles","Santa Monica Bay"
"186","404S44642",1460,380,3169,"6.1","SMC_SWAMP_2013",31,25,33.54,41.67,25,2013-06-04,"Las Virgenes 44642","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-06-04,"404S44642",34.16873,-118.70306,404,"Ventura","Santa Monica Bay"
"187","404S45622",1456,384,3164,"6.1","SMC_SWAMP_2013",83,72.22,90.29,83.33,87.5,2013-12-09,"Topanga Canyon 45622","RWB4_SMC_2013","riverine","non-confined",NA,"true",2013-12-09,"404S45622",34.06149,-118.58534,404,"Los Angeles","Santa Monica Bay"
"188","404S45745",1474,366,3212,"6.1","SMC_SWAMP_2013",84,77.78,96.54,75,87.5,2013-12-16,"Arroyo Sequit 45745","RWB4_SMC_2013","riverine","confined",NA,"true",2013-12-16,"404S45745",34.05902,-118.9339,404,"Los Angeles","Santa Monica Bay"
"189","404S48200",1473,367,3208,"6.1","SMC_SWAMP_2013",82,77.78,96.54,66.67,87.5,2013-06-18,"Arroyo Sequit","RWB4_SMC_2013","riverine","confined",NA,"true",2013-06-18,"404S48200",34.07772,-118.92395,404,"Los Angeles","Santa Monica Bay"
"190","405BRCAMS",1047,793,1747,"5.0.2","PSA_RCMP_2011",89,92,100,75,88,2011-06-28,"Bear Creek WF BRCAMS",NA,"riverine","non-confined",NA,"true",2011-06-28,"405BRCAMS",34.2738,-117.899,405,"Los Angeles","San Gabriel"
"191","405BRCASG",204,204,3892,"6.1","RCMP_SWAMP_2014 ",83,63.89,93.29,75,100,2014-06-17,"Bear Creek","RCMP_2014","riverine","confined",NA,"true",2014-06-17,"SGUT501",34.24092,-117.88449,405,"Los Angeles","San Gabriel"
"192","405BRCASG",609,1336,5507,"6.1","RCMP_ABL_2016",85,83.33,100,83.33,75,2016-06-07,"Bear Creek ASG","405BRCASG","riverine","non-confined",NA,"true",2016-06-07,"SGUT501",34.24092,-117.88449,405,"Los Angeles","San Gabriel"
"193","405BRCASG",1576,1576,6395,"6.1","SWB_RCMP_2018",81,66.67,93.29,75,87.5,2018-01-06,"Bear Creek","RCMP","riverine","confined",1900-01-18,"true",2018-01-06,"SGUT501",34.24092,-117.88449,405,"Los Angeles","San Gabriel"
"194","405BRCASG",1738,1738,6911,"6.1","SWB_RCMP_2019",78,63.89,93.29,66.67,87.5,2019-05-06,"Bear creek","RCMP","riverine","confined",1900-01-18,"true",2019-05-06,"SGUT501",34.24092,-117.88449,405,"Los Angeles","San Gabriel"
"195","405BRCASG",140,140,4378,"6.1","RCMP_ABL_2015",80,69.44,93.29,83.33,75,2015-05-05,"Bear Creek","RCMP","riverine","non-confined",NA,"true",2015-05-05,"SGUT501",34.24092,-117.88449,405,"Los Angeles","San Gabriel"
"196","405CE0280",594,1303,5431,"6.1","SMC/SGRRMP",82,61.11,93.29,100,75,2016-06-09,"SGUR0280","405CE0280","riverine","non-confined",NA,"true",2016-06-09,"405CE0280",34.23041,-117.74981,405,"Los Angeles","San Gabriel"
"197","405CE0280",144,144,4374,"6.1","SMC/SGRRMP",86,72.22,100,83.33,87.5,2015-07-06,"SGUR0280","405CE0280","riverine","non-confined",NA,"true",2015-07-06,"405CE0280",34.23041,-117.74981,405,"Los Angeles","San Gabriel"
"198","405CE0280",365,1497,6168,"6.1","SMC/SGRRMP",81,55.56,93.29,100,75,2017-07-19,"SGUR0280","405CE0280","riverine","non-confined",NA,"true",2017-07-19,"405CE0280",34.23041,-117.74981,405,"Los Angeles","San Gabriel"
"199","405CE0280",1687,1687,6711,"6.1","SMC/SGRRMP",75,61.11,93.29,83.33,62.5,2018-02-07,"SGUR0280","SMC","riverine","non-confined",1900-01-18,"true",2018-02-07,"405CE0280",34.23041,-117.74981,405,"Los Angeles","San Gabriel"
"200","405M10596",37,37,4675,"6.1","SMC_SWAMP_2015",29,27.78,30.17,33.33,25,2015-04-27,"405M10596 Cerritos","RWB4_SMC_2014","riverine","non-confined",NA,"true",2015-04-27,"405M10596",33.81024,-118.12821,405,"Los Angeles","San Gabriel"
"201","405M10598",141,141,4377,"6.1","SMC/SGRRMP",33,25,50,33.33,25,2015-06-30,"SGLR10598","405M10598","riverine","confined",NA,"true",2015-06-30,"405M10598",34.06991,-117.77146,405,"Los Angeles","San Gabriel"
"202","405M10599",142,142,4376,"6.1","SMC/SGRRMP",39,33.33,62.5,33.33,25,2015-06-30,"SGLR10599","405M10599","riverine","confined",NA,"true",2015-06-30,"405M10599",33.95045,-118.04896,405,"Los Angeles","San Gabriel"
"203","405M10600",592,1301,5429,"6.1","SMC/SGRRMP",40,25,67.67,41.67,25,2016-06-23,"SGMR10600","405M10600","riverine","confined",NA,"true",2016-06-23,"405M10600",33.85293,-118.10127,405,"Los Angeles","San Gabriel"
"204","405PS0030",146,146,4372,"6.1","SMC/SGRRMP",75,61.11,86.42,91.67,62.5,2015-07-08,"SGUR0030","405PS0030","riverine","non-confined",NA,"true",2015-07-08,"405PS0030",34.23487,-117.80523,405,"Los Angeles","San Gabriel"
"205","405PS0030",726,1114,835,"5.0.1","PSA_2008",64,33,83,75,63,2008-06-12,"San Gabriel R EF",NA,"riverine","non-confined",NA,"true",2008-06-12,"405PS0030",34.23487,-117.80523,405,"Los Angeles","San Gabriel"
"206","405PS0036",591,1300,5428,"6.1","SMC/SGRRMP",85,86.11,90.29,75,87.5,2016-07-11,"SGUR0036","405PS0036","riverine","confined",NA,"true",2016-07-11,"405PS0036",34.24118,-117.93426,405,"Los Angeles","San Gabriel"
"207","405PS0036",729,1111,844,"5.0.1","PSA_2008",81,72,100,75,75,2008-06-11,"WF San Gabriel River",NA,"riverine","confined",NA,"true",2008-06-11,"405PS0036",34.24118,-117.93426,405,"Los Angeles","San Gabriel"
"208","405SGRAAG",1575,1575,6394,"6.1","SWB_RCMP_2018",82,61.11,93.29,75,100,2018-01-06,"San Gabriel","RCMP","riverine","confined",1900-01-18,"true",2018-01-06,"405SGRAAG",34.26448,-117.74751,405,"Los Angeles","San Gabriel"
"209","405WER318",865,975,1131,"5.0.2","RCMP_INDEX_2009",86,56,100,100,88,2009-07-07,"Bear Creek",NA,"riverine","confined",NA,"true",2009-07-07,"405WER318",34.26833,-117.89111,405,"Los Angeles","San Gabriel"
"210","407M01516",119,119,4400,"6.1","SMC/VCWPD",37,25,66.46,33.33,25,2015-06-24,"SMC2_01516","407M01516","riverine","confined",NA,"true",2015-06-24,"407M01516",34.25539,-119.25498,407,"Ventura","Santa Clara"
"211","408BA0660",403,1535,6131,"6.1","SMC/VCWPD",70,75,67.67,75,62.5,2017-04-27,"408BA0660","408BA0660","riverine","confined",NA,"true",2017-04-27,"408BA0660",34.26784,-118.93781,408,"Ventura","Calleguas"
"212","408BA0660",578,1287,5405,"6.1","SMC/VCWPD",76,75,80.63,75,75,2016-06-20,"408BA0660","408BA0660","riverine","non-confined",NA,"true",2016-06-20,"408BA0660",34.26784,-118.93781,408,"Ventura","Calleguas"
"213","408BA0660",1662,1662,6685,"6.1","SMC/VCWPD",66,72.22,67.67,75,50,2018-11-06,"408BA00660","SMC","riverine","confined",1900-01-18,"true",2018-11-06,"408BA0660",34.26784,-118.93781,408,"Ventura","Calleguas"
"214","408M03005",114,114,4405,"6.1","SMC/VCWPD",36,25,67.67,25,25,2015-06-15,"SMC2_03005","408M03005","riverine","confined",NA,"true",2015-06-15,"408M03005",34.27001,-118.74203,408,"Ventura","Calleguas"
